Source Site,Page/Section,Title,Prompt/Description,Category/Tags,Platform(s),Duration,Source URL
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Generate Agent Ideas,"Uses Copilot to help brainstorm agentic ideas for a specific topic, vertical, or industry that work with Agent Builder",General; Ideation,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Meeting Notes,Help summarize recent meetings notes with an emphasis on decisions and open items.,General; Meetings,Copilot; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Meeting Prep,Helps prepare for an upcoming meeting.,General; Meetings,Copilot; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Meetings by Participant,Searches calendar for future meetings with specific people or companies.,General; Meetings,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Plan my day,"Use Copilot to help start your day, prioritizing urgent matters and based on its knowledge of your preferences and schedule.",General; Tasks,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Follow-up Questions,"Helps create follow-up questions based on recent chat, email, and meetings.",General; Email; Teams; Tasks,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Find Artifacts by Topic,Helps find artifacts relevant to a specific initiative.,General; Discovery,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Prompt Clarifying Questions First,Meta-prompt pattern that asks Copilot to check for missing context and ask clarifying questions before answering.,General; Copilot and Me; Ideation,Copilot; Outlook; Teams; Word; Excel; Researcher; Analyst,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Researcher Acquisition,Prompt to have Researcher perform detailed analysis on a potential aquisition.,General; Researcher; Mergers and Acquisitions,Copilot; Researcher,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Researcher Topic Brief,Prompt to have Researcher summarize all topic-related content into an easily consumable brief.,General; Researcher,Copilot; Researcher,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Roast my Week,Fun prompt to let Copilot roast your week based on you calendar and other knowledge in WorkIQ.,General; Fun,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Sales Customer Relationship Health,Executive health view of top customer accounts with red/amber/green ranking and next actions.,General; Sales; Customer Service; Insights; Analyst,Copilot; Outlook; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Stakeholder Communication Style Coach,"Analyzes a board member, investor, or peer executive's communication style from prior email and chats, and suggests how to respond.",General; Email; Copilot and Me; People Management,Copilot; Outlook; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Summarize Document,Helps summarize a document into no more than 10 bullet points for quick consumption.,General; Summarization,Copilot; Word,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Summarize Mentions,Help summarize emails and chats where you were mentioned yesterday.,General; Mentions,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Summarize Outcomes,Summarizes open questions or decisions from chat/email.,General; Email; Tasks,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Team Recognition Nomination,Identifies employees worth nominating for recognition based on recent collaboration signals the executive has observed.,General; People Management; Human Resources; Insights,Copilot; Outlook; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Teams by Topic,Searches and summarizes Teams conversations by topic.,General; Teams,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Weekly Productivity Review,"Reviews last week's calendar, email, and Teams activity against what's coming up and ranks productivity suggestions for the executive.",General; Copilot and Me; Insights; Tasks,Copilot; Outlook; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),AskHR,"AskHR is an employee-facing agent for answering policy, benefits, and role related questions for employees. It will only answer HR questions it has answers for.",All; Human Resources,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Client Engagement Advisor,Agent that helps professional services leaders prepare for client conversations.,Professional Services; Advisory,Copilot Studio; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Competitor Research,"Provides executive-ready competitor and market research using Bing Search to retrieve verified intelligence from approved competitor and retail trend websites, synthesizing findings into strategic summaries with mandatory source citations.",Retail; Sales; Marketing; Operations,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Customer Feedback Analyzer,Agent that analyzes customer feedback and provides insights.,Retail; Sales; Marketing; Operations; Customer Service,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Customer Health and Renewals Agent,"The Customer Health and Renewals Agent helps leaders quickly understand which customers are healthy, at risk, or critical by combining usage patterns, support activity, renewal status, and relationship signals into a single, clear narrative. Instead of just showing scores, it explains why an account is in its current state, highlights renewal risk, and recommends specific next actions—producing executive-ready insights grounded in real customer data, all within a lightweight, knowledge-only agent.",ISV; Sales,Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Employee Signals Agent,"The Employee Signals Agent provides detailed analysis of 2026 employee survey responses, including ratings and comments. PII information has been removed.",All; Human Resources,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Legal Governance Agent,The Legal Governance Agent is an expert at our legal governance policies and procedures. Provides Q&A for employees on legal governance policies.,Retail; Legal,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),NDA Agent,"A knowledge-grounded assistant that helps Zava teams do a fast, consistent first-pass triage of incoming NDAs. It summarizes key terms, flags deviations versus Zava’s preferred positions, highlights red flags, and drafts recommended negotiation language and escalation notes. Outputs are designed for business stakeholders and always recommend review by counsel for final decisions.",Legal,Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Perishables Agent,"This agent helps grocery store management reduce perishable loss by analyzing daily perishable stock data exports. It identifies risk areas, visualizes trends, and recommends actionable mitigations such as markdowns, redistribution, and supplier adjustments. The agent uses only the provided daily export data and no external sources or assumptions.",Retail; Sales; Supply Chain,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Sales Forecast Agent,"Provides weekly sales forecasts for Produce, Dairy, and Frozen Foods based on historical trends and seasonal factors. The agent uses only the provided daily export data and no external sources or assumptions.",Retail; Sales,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Store Performance,"This agent helps executives understand store performance by analyzing weekly store sales summaries. It identifies what is going well, where there are opportunities for improvements, and recommendations on actionable strategies to address. The agent uses only the provided weekly export data and no external sources or assumptions.",Retail; Sales,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Store and Product Analyzer,"This agent helps executives analyze weekly store and product performance. It can help identify trends, opportunies, and threats. The agent uses only the provided weekly export data and no external sources or assumptions.",Retail; Sales,Copilot; Agent Builder,15 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
emontes07.github.io/Learning,Agents - Executives,Researcher Agent - Explore AI Solutions,"Explore possible AI solutions to address [insert problem]. Focus on retrieval-based approaches using Microsoft Copilot, Copilot Studio agents, or connected knowledge sources. Summarize three possible solution approaches, their benefits, and limitations.",Executives; Researcher Agent,Copilot Chat; Researcher Agent,5-10 min,https://emontes07.github.io/Learning/Instructions/Prompts/Exec-Agents.html
emontes07.github.io/Learning,Arcos Dorados - Executives,Meeting Recap - Summarize Decisions with Owners,"Resume la reunión en 5–7 puntos y convierte cada punto en una decisión con un responsable y una fecha objetivo. Si faltan datos, sugiere responsables y fechas tentativas basándote en el contexto de la conversación.",Executives; Meeting Recap; Copilot,Teams; Copilot,,https://emontes07.github.io/Learning/Instructions/Prompts/ArcosEX.html
emontes07.github.io/Learning,Arcos Dorados - Executives,Meeting Recap - Extract Explicit/Implicit Decisions,"Extrae todas las decisiones explícitas e implícitas. Para cada una, sugiere responsable, fecha objetivo y primer siguiente paso.",Executives; Meeting Recap; Copilot,Teams; Copilot,,https://emontes07.github.io/Learning/Instructions/Prompts/ArcosEX.html
emontes07.github.io/Learning,Arcos Dorados - Executives,Meeting Recap - Decisions Table,Crea una tabla con: Decisión | Responsable | Fecha objetivo | Primer siguiente paso | Riesgo/Bloqueador asociado.,Executives; Meeting Recap; Copilot,Teams; Copilot,,https://emontes07.github.io/Learning/Instructions/Prompts/ArcosEX.html
emontes07.github.io/Learning,Arcos Dorados - Executives,Meeting Recap - Commitments as Tasks,¿Quién se comprometió a qué durante la reunión? Normaliza los compromisos como tareas accionables.,Executives; Meeting Recap; Copilot,Teams; Copilot,,https://emontes07.github.io/Learning/Instructions/Prompts/ArcosEX.html
emontes07.github.io/Learning,Arcos Dorados - Executives,Meeting Recap - Risks and Mitigation Owners,Identifica riesgos y dependencias mencionadas y asigna un owner de mitigación.,Executives; Meeting Recap; Copilot,Teams; Copilot,,https://emontes07.github.io/Learning/Instructions/Prompts/ArcosEX.html
emontes07.github.io/Learning,Arcos Dorados - Executives,Meeting Recap - 30-60-90 Day Plan,"Genera un plan 30–60–90 días a partir de las decisiones tomadas, con hitos y responsables.",Executives; Meeting Recap; Copilot,Teams; Copilot,,https://emontes07.github.io/Learning/Instructions/Prompts/ArcosEX.html
emontes07.github.io/Learning,Arcos Dorados - Executives,Meeting Recap - Final Decisions & Responsible Parties Table,Reestructura el resultado en una tabla. Campos: Decisión | Owner | Due date | Next step | Estado (Nuevo/En curso) | Referencia (timestamp de la transcripción).,Executives; Meeting Recap; Copilot,Teams; Copilot,,https://emontes07.github.io/Learning/Instructions/Prompts/ArcosEX.html
emontes07.github.io/Learning,Executives Demo,Executive Briefing (Copilot Chat),"Give me a one-page executive briefing on our top 3 strategic priorities this quarter. Reference recent emails, Teams messages, and shared files I'm involved in. Surface key risks, decisions needed from me, and recommended talking points.",Executives; Briefing,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/1-Executives-Demo.html
emontes07.github.io/Learning,Executives Demo,Leadership Memo Draft (Copilot in Word),"Draft a 1-page memo to the leadership team on our Q3 priorities. Include: a 3-sentence executive summary, top 3 priorities with owners, key risks, and a clear call-to-action for the next leadership meeting. Tone: confident, direct, and concise.",Executives; Memo,Copilot in Word,,https://emontes07.github.io/Learning/Instructions/Demos/1-Executives-Demo.html
emontes07.github.io/Learning,Executives Demo,Leadership Deck Build (Copilot in PowerPoint),"Create a presentation from [Link to leadership memo]. Keep slides minimal — 4 bullets max per slide. Include a title slide, executive summary, priorities, risks, and an 'asks of leadership' closing slide.",Executives; Presentation,Copilot in PowerPoint,,https://emontes07.github.io/Learning/Instructions/Demos/1-Executives-Demo.html
emontes07.github.io/Learning,Executive Assistant Demo,Summarize Earnings Call Transcript,Summarize the key points from the Microsoft FY24 Second Quarter Earnings Conference Call.,Executive Assistant; Summarization,Copilot in Word,,https://emontes07.github.io/Learning/Instructions/Demos/6-Executive-Assistant-Demo.html
emontes07.github.io/Learning,Executive Assistant Demo,Summarize Specific Speaker Remarks,Provide a brief summary of Satya Nadella's remarks during the earnings call.,Executive Assistant; Summarization,Copilot in Word,,https://emontes07.github.io/Learning/Instructions/Demos/6-Executive-Assistant-Demo.html
emontes07.github.io/Learning,Executive Assistant Demo,Comprehensive Earnings Call Analysis,"Analyze the Microsoft FY24 Second Quarter Earnings Conference Call document to provide a comprehensive report that includes: a summary of key points from each speaker; identification of the top three growth areas and their contributing factors; a detailed breakdown of financial performance, including revenue, operating income, and earnings per share; trends in AI adoption and its influence on Microsoft's business strategy; a comparison of this quarter's performance with the same quarter last year, highlighting significant changes; key strategic initiatives and future outlook as discussed in the call.",Executive Assistant; Finance; Analysis,Copilot in Word,,https://emontes07.github.io/Learning/Instructions/Demos/6-Executive-Assistant-Demo.html
emontes07.github.io/Learning,Executive Assistant Demo,Executive Summary from Pasted Content,"Based on the following information, provide an executive summary on the following information: [paste the Word output here]",Executive Assistant; Summarization,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/6-Executive-Assistant-Demo.html
emontes07.github.io/Learning,Executive Assistant Demo,Condense Executive Summary,Summarize this executive summary into a more concise format by focusing on the most critical insights and metrics for each speaker. Use a structured format with headings and bullet points to improve readability. Export to a Word document.,Executive Assistant; Summarization,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/6-Executive-Assistant-Demo.html
emontes07.github.io/Learning,Executive Assistant Demo,Generate Talking Points for Manager,"Based on the summarized executive summary, generate 5-7 concise and impactful talking points my manager can use in their next leadership call. Focus on key achievements, growth areas, and strategic priorities.",Executive Assistant; Talking Points,Copilot Chat,,https://emontes07.github.io/Learning/Instructions/Demos/6-Executive-Assistant-Demo.html
emontes07.github.io/Learning,Executive Assistant Demo,Schedule Follow-Up Meeting,"I need to schedule a 30-minute meeting with [/Pick a colleague] tomorrow afternoon to discuss the Second Quarter Earnings Conference Call. Can you suggest a time that works? If they are unavailable, provide an alternative.",Executive Assistant; Scheduling,Copilot in Outlook,,https://emontes07.github.io/Learning/Instructions/Demos/6-Executive-Assistant-Demo.html
emontes07.github.io/Learning,Executive Assistant Demo,Draft Meeting Agenda,"I'm meeting with my boss to discuss key updates and strategic initiatives they missed from the Second Quarter Earnings Conference Call. Create an agenda to discuss financial performance, AI and technology integration, strategic acquisitions, productivity updates, and future outlook.",Executive Assistant; Scheduling,Copilot in Outlook,,https://emontes07.github.io/Learning/Instructions/Demos/6-Executive-Assistant-Demo.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Two-Minute Voice Briefing,"Give me a two-minute verbal briefing on what I missed since Friday — what decision is most urgent, what's blocked on me, and what one positive signal I should walk into Monday knowing.",Executives; Briefing,Copilot Voice,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Earnings-Call Brief (Researcher Agent),"Summarize the most recent earnings call for [Energizer Holdings / Church & Dwight / Kenvue / Procter & Gamble — pick one]. Highlight: key financial results and drivers; the major strategic priorities leadership chose to emphasize; the analyst questions and concerns that came up, especially ones management dodged; the risks, headwinds, and market pressures named; the implications for Edgewell — where it threatens our position, where it reveals an opening, and the one question this raises for our own strategy.",Executives; Research; Competitive Intelligence,Researcher Agent,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Multi-Agent Strategic Teardown,"Researcher: pull the most credible public view on the U.S. mineral SPF face category — leaders, growth, retailer signals. Analyst: pull Edgewell sun-care performance from our 10-K and compare to the relevant peer segments at Energizer, Church & Dwight, and Kenvue. Bring both into one Notebook. Give me a two-page teardown: where we're winning, where we're losing, the single strategic move I'd argue for to the board, and the risk that move carries. Cite every number.",Executives; Strategy; Multi-agent,Researcher Agent; Analyst Agent; Notebook,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Meeting Decisions & Owners Block,"From this meeting, generate the decisions-and-owners block I can post to the chat right now: decisions made — specific commitments, not themes; action items — named owner, specific next step, due date; open questions we're carrying forward; the one decision we explicitly chose not to make today and when we'll revisit it.",Executives; Meetings,Copilot in Teams,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Cowork: Draft & Schedule Follow-Up Emails,"Draft the follow-up to each meeting owner with their specific commitment, schedule it to send at 8 AM tomorrow, and flag any that touch a customer.",Executives; Cowork; Delegation,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Cowork: Assemble Board Deck,Assemble the board deck from the Banana Boat teardown and this morning's brand review. Use Edgewell brand standards. Stage it in my SharePoint.,Executives; Cowork; Board,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive Flow (Version C),Cowork: Schedule Leadership Kickoff,"Get the 90-day plan kickoff on calendars this week — Brand President, FP&A lead, Head of Sales, CMO. 45 minutes. Use the brief as the agenda.",Executives; Cowork; Scheduling,Cowork,,https://emontes07.github.io/Learning/Instructions/Demos/18c-Edgewell-Version-C-Executive-Flow.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Pages 101: Draft Working Brief,"Based on what you know about my role at Edgewell, my brands, and what's happening in the personal care category, draft me a working brief titled ""Banana Boat — what we change in the next 90 days."" Structure it as: one-sentence point of view; three things we know are true; three things we think are true but should validate; the move I'd argue for; the open questions I need brand, sales, insights, and FP&A to answer before we commit. Keep it editable — short sentences, no flourish.",Executives; Cowork; Pages,Copilot Chat; Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
emontes07.github.io/Learning,Edgewell Executive CoWork Lab,Pages 101: Co-Edit Synthesis,"Look at the comments and edits my teammates have made in the last 15 minutes. Summarize where we agree, where we disagree, and the single most substantive challenge that was raised. Then propose a revised paragraph 4 (the move) that incorporates the strongest pushback. Mark anything you changed so we can see the diff.",Executives; Cowork; Pages; Co-editing,Copilot Pages,,https://emontes07.github.io/Learning/Instructions/Demos/18b-Edgewell-Executive-Copilot-CoWork-Lab.html
